Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-10,LAL vs. DEN,LAL,DEN,Home,W,6.02,5,2,3,66.7,0,0,0.0,1,2,50.0,1,0,1,1,2,0,0,0,7
2020-08-08,LAL @ IND,LAL,IND,Away,L,7.32,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,1,0,0,12
2020-08-06,LAL @ HOU,LAL,HOU,Away,L,7.09,1,0,0,0.0,0,0,0.0,1,2,50.0,0,1,1,2,0,1,1,1,2
2020-08-05,LAL vs. OKC,LAL,OKC,Home,L,6.07,4,1,2,50.0,0,1,0.0,2,2,100.0,1,0,1,1,0,0,0,2,2
2020-08-03,LAL @ UTA,LAL,UTA,Away,W,6.45,11,2,3,66.7,0,0,0.0,7,9,77.8,0,2,2,2,0,0,0,0,2
2020-08-01,LAL @ TOR,LAL,TOR,Away,L,5.33,1,0,1,0.0,0,0,0.0,1,1,100.0,1,1,2,0,0,0,0,0,6
2020-07-30,LAL vs. LAC,LAL,LAC,Home,W,6.22,6,1,2,50.0,0,0,0.0,4,5,80.0,0,1,1,0,0,0,0,0,-6
2020-03-10,LAL vs. BKN,LAL,BKN,Home,L,5.42,2,1,3,33.3,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,1,-6
2020-03-08,LAL @ LAC,LAL,LAC,Away,W,5.48,6,2,4,50.0,0,0,0.0,2,2,100.0,0,1,1,0,0,0,0,2,1
2020-03-06,LAL vs. MIL,LAL,MIL,Home,W,2.08,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,1,-3
2020-03-03,LAL vs. PHI,LAL,PHI,Home,W,8.14,18,7,7,100.0,2,2,100.0,2,2,100.0,1,1,2,0,2,0,0,1,24
2020-02-29,LAL @ MEM,LAL,MEM,Away,L,4.3,4,2,2,100.0,0,0,0.0,0,1,0.0,0,1,1,1,0,0,0,0,2
2020-02-27,LAL @ GSW,LAL,GSW,Away,W,4.57,5,1,2,50.0,1,2,50.0,2,2,100.0,0,2,2,0,0,0,1,1,-3
2020-02-25,LAL vs. NOP,LAL,NOP,Home,W,5.21,6,3,6,50.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2
2020-02-23,LAL vs. BOS,LAL,BOS,Home,W,7.41,2,1,3,33.3,0,0,0.0,0,0,0.0,1,1,2,1,0,0,3,1,-9
2020-02-21,LAL vs. MEM,LAL,MEM,Home,W,8.28,4,1,4,25.0,0,1,0.0,2,3,66.7,1,1,2,3,1,1,1,1,10
2020-02-12,LAL @ DEN,LAL,DEN,Away,W,7.39,11,5,6,83.3,0,1,0.0,1,3,33.3,0,1,1,0,1,0,0,0,19
2020-02-10,LAL vs. PHX,LAL,PHX,Home,W,7.31,4,2,5,40.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,1,-4
2020-02-08,LAL @ GSW,LAL,GSW,Away,W,4.47,5,1,2,50.0,0,0,0.0,3,4,75.0,1,2,3,1,0,0,1,1,-5
2020-02-06,LAL vs. HOU,LAL,HOU,Home,L,7.5,4,2,3,66.7,0,0,0.0,0,0,0.0,0,3,3,0,1,0,0,1,2
2020-02-04,LAL vs. SAS,LAL,SAS,Home,W,5.04,2,1,1,100.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,0,2
2020-02-01,LAL @ SAC,LAL,SAC,Away,W,5.4,7,2,3,66.7,1,2,50.0,2,2,100.0,0,0,0,2,2,0,1,0,0
2020-01-31,LAL vs. POR,LAL,POR,Home,L,6.07,2,1,1,100.0,0,0,0.0,0,0,0.0,1,1,2,0,0,1,2,0,-2
2020-01-25,LAL @ PHI,LAL,PHI,Away,L,3.58,6,3,3,100.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,2,6
2020-01-23,LAL @ BKN,LAL,BKN,Away,W,7.39,0,0,2,0.0,0,0,0.0,0,0,0.0,0,4,4,1,1,0,1,0,5
2020-01-22,LAL @ NYK,LAL,NYK,Away,W,4.15,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2
2020-01-20,LAL @ BOS,LAL,BOS,Away,L,8.37,2,0,2,0.0,0,0,0.0,2,2,100.0,0,1,1,2,0,1,0,0,-8
2020-01-07,LAL vs. NYK,LAL,NYK,Home,W,6.57,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,3,1,0,1,1,5
2020-01-05,LAL vs. DET,LAL,DET,Home,W,7.22,0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,1,2,0,0,1
2020-01-03,LAL vs. NOP,LAL,NOP,Home,W,6.44,9,2,3,66.7,0,0,0.0,5,5,100.0,1,1,2,0,1,0,1,0,5
2020-01-01,LAL vs. PHX,LAL,PHX,Home,W,5.44,4,2,2,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,3
2019-12-29,LAL vs. DAL,LAL,DAL,Home,W,6.28,6,1,1,100.0,0,0,0.0,4,5,80.0,0,1,1,1,0,1,1,0,4
2019-12-28,LAL @ POR,LAL,POR,Away,W,6.3,2,0,3,0.0,0,1,0.0,2,2,100.0,0,2,2,0,0,0,0,0,1
2019-12-25,LAL vs. LAC,LAL,LAC,Home,L,7.55,8,1,4,25.0,0,2,0.0,6,7,85.7,0,2,2,1,1,1,0,0,7
2019-12-22,LAL vs. DEN,LAL,DEN,Home,L,5.24,8,3,6,50.0,0,1,0.0,2,2,100.0,2,1,3,0,0,0,0,0,-3
2019-12-19,LAL @ MIL,LAL,MIL,Away,L,7.06,5,1,3,33.3,0,1,0.0,3,4,75.0,1,0,1,1,0,0,1,2,0
2019-12-15,LAL @ ATL,LAL,ATL,Away,W,4.5,1,0,1,0.0,0,0,0.0,1,1,100.0,0,0,0,0,0,0,1,3,1
2019-12-13,LAL @ MIA,LAL,MIA,Away,W,7.25,6,2,4,50.0,1,2,50.0,1,1,100.0,0,2,2,0,0,0,0,1,1
2019-12-11,LAL @ ORL,LAL,ORL,Away,W,5.35,0,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,1,1,0,-6
2019-12-08,LAL vs. MIN,LAL,MIN,Home,W,7.26,10,5,6,83.3,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,5
2019-12-06,LAL @ POR,LAL,POR,Away,W,5.45,10,3,7,42.9,1,2,50.0,3,3,100.0,0,2,2,0,1,0,0,1,0
2019-12-04,LAL @ UTA,LAL,UTA,Away,W,3.3,4,0,0,0.0,0,0,0.0,4,4,100.0,0,0,0,0,0,0,0,1,-1
2019-12-03,LAL @ DEN,LAL,DEN,Away,W,7.23,10,4,6,66.7,0,1,0.0,2,3,66.7,3,2,5,0,0,0,0,1,6
2019-12-01,LAL vs. DAL,LAL,DAL,Home,L,6.17,12,4,5,80.0,0,0,0.0,4,4,100.0,1,2,3,0,0,0,0,0,5
2019-11-29,LAL vs. WAS,LAL,WAS,Home,W,5.47,4,2,4,50.0,0,0,0.0,0,0,0.0,2,1,3,0,0,1,0,0,7
2019-11-27,LAL @ NOP,LAL,NOP,Away,W,5.29,13,5,8,62.5,1,2,50.0,2,2,100.0,1,2,3,0,1,0,1,1,-1
2019-11-25,LAL @ SAS,LAL,SAS,Away,W,6.04,4,2,6,33.3,0,2,0.0,0,0,0.0,3,0,3,2,1,0,0,0,-2
2019-11-23,LAL @ MEM,LAL,MEM,Away,W,4.46,4,1,2,50.0,1,2,50.0,1,2,50.0,0,1,1,0,0,0,0,0,-1
2019-11-22,LAL @ OKC,LAL,OKC,Away,W,4.5,5,1,2,50.0,1,1,100.0,2,2,100.0,0,1,1,1,0,0,0,0,-1
2019-11-19,LAL vs. OKC,LAL,OKC,Home,W,5.52,6,2,4,50.0,2,2,100.0,0,0,0.0,0,1,1,0,0,0,0,0,2
