Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-14,PHI @ HOU,PHI,HOU,Away,W,9.06,4,2,2,100.0,0,0,0.0,0,0,0.0,0,4,4,1,1,0,3,2,10
2020-08-12,PHI vs. TOR,PHI,TOR,Home,L,4.3,1,0,1,0.0,0,0,0.0,1,1,100.0,1,2,3,0,0,0,2,1,3
2020-08-07,PHI vs. ORL,PHI,ORL,Home,W,9.1,2,1,2,50.0,0,0,0.0,0,0,0.0,0,4,4,1,0,0,1,1,-3
2020-08-05,PHI @ WAS,PHI,WAS,Away,W,6.54,9,4,7,57.1,0,2,0.0,1,1,100.0,0,2,2,1,0,0,0,0,-4
2020-08-03,PHI vs. SAS,PHI,SAS,Home,W,5.3,4,2,3,66.7,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,-4
2020-08-01,PHI @ IND,PHI,IND,Away,L,7.53,6,2,3,66.7,0,1,0.0,2,2,100.0,0,3,3,2,0,1,0,0,8
2020-03-11,PHI vs. DET,PHI,DET,Home,W,7.12,8,2,4,50.0,0,0,0.0,4,5,80.0,1,2,3,1,0,0,1,1,4
2020-02-24,PHI vs. ATL,PHI,ATL,Home,W,7.36,8,3,3,100.0,0,0,0.0,2,2,100.0,1,0,1,1,1,0,0,2,1
2020-02-22,PHI @ MIL,PHI,MIL,Away,L,12.0,12,3,7,42.9,0,0,0.0,6,7,85.7,1,3,4,1,0,1,2,2,4
2020-02-20,PHI vs. BKN,PHI,BKN,Home,W,9.26,5,1,3,33.3,1,1,100.0,2,2,100.0,1,0,1,1,0,0,1,2,-12
2020-02-11,PHI vs. LAC,PHI,LAC,Home,W,6.28,8,3,4,75.0,0,0,0.0,2,2,100.0,0,0,0,0,0,0,1,0,-11
2020-02-09,PHI vs. CHI,PHI,CHI,Home,W,7.58,2,0,4,0.0,0,0,0.0,2,2,100.0,2,0,2,1,1,3,1,1,-3
2020-02-07,PHI vs. MEM,PHI,MEM,Home,W,6.12,2,1,4,25.0,0,0,0.0,0,0,0.0,2,2,4,1,0,0,0,1,5
