Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-02-14,SAC @ BKN,SAC,BKN,Away,L,00:04:48,2,1,3,33.3,0,0,0.0,0,2,0.0,0,0,0,0,0,0,0,1,-4
2022-02-12,SAC @ WAS,SAC,WAS,Away,W,00:09:15,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,3,0,0,1,0,11
2022-02-09,SAC vs. MIN,SAC,MIN,Home,W,00:04:47,4,2,3,66.7,0,0,0.0,0,1,0.0,0,2,2,0,0,0,1,1,-7
2022-02-06,IND @ CLE,IND,CLE,Away,L,00:08:29,3,1,3,33.3,0,0,0.0,1,2,50.0,0,2,2,1,0,0,3,0,-4
2022-01-29,IND @ DAL,IND,DAL,Away,L,00:07:22,4,2,2,100.0,0,0,0.0,0,0,0.0,1,3,4,0,0,0,2,2,-12
2022-01-28,IND @ OKC,IND,OKC,Away,W,00:08:51,3,1,5,20.0,0,1,0.0,1,1,100.0,2,1,3,0,0,0,1,1,-12
2022-01-19,IND @ LAL,IND,LAL,Away,W,00:08:14,5,2,2,100.0,1,1,100.0,0,0,0.0,1,1,2,0,0,0,1,0,10
2022-01-17,IND @ LAC,IND,LAC,Away,L,00:07:19,1,0,1,0.0,0,0,0.0,1,2,50.0,1,0,1,2,0,0,1,1,-10
2022-01-14,IND vs. PHX,IND,PHX,Home,L,00:11:51,9,2,3,66.7,0,0,0.0,5,6,83.3,0,3,3,2,0,0,1,2,6
2022-01-12,IND vs. BOS,IND,BOS,Home,L,00:09:47,5,1,3,33.3,0,1,0.0,3,3,100.0,0,1,1,2,0,0,0,1,-12
2022-01-10,IND @ BOS,IND,BOS,Away,L,00:11:29,0,0,2,0.0,0,0,0.0,0,0,0.0,5,3,8,5,0,0,2,0,-2
2022-01-08,IND vs. UTA,IND,UTA,Home,W,00:09:53,6,3,4,75.0,0,0,0.0,0,0,0.0,1,1,2,1,1,0,0,0,-1
2022-01-05,IND vs. BKN,IND,BKN,Home,L,00:12:00,6,2,2,100.0,1,1,100.0,1,1,100.0,0,5,5,3,0,0,1,2,-6
2022-01-04,IND @ NYK,IND,NYK,Away,L,00:12:00,5,2,4,50.0,0,2,0.0,1,4,25.0,0,2,2,1,0,0,0,1,-7
2022-01-02,IND @ CLE,IND,CLE,Away,L,00:10:16,16,5,6,83.3,3,3,100.0,3,4,75.0,1,2,3,0,0,0,0,0,2
2021-12-31,IND vs. CHI,IND,CHI,Home,L,00:12:00,4,2,3,66.7,0,0,0.0,0,0,0.0,1,3,4,3,0,1,0,1,1
2021-12-29,IND vs. CHA,IND,CHA,Home,L,00:11:00,4,1,4,25.0,0,2,0.0,2,4,50.0,2,5,7,4,0,0,3,1,3
2021-12-26,IND @ CHI,IND,CHI,Away,L,00:08:43,0,0,2,0.0,0,0,0.0,0,0,0.0,1,3,4,3,0,0,0,0,-1
2021-12-21,IND @ MIA,IND,MIA,Away,L,00:11:28,3,1,4,25.0,0,0,0.0,1,1,100.0,0,1,1,2,0,0,1,0,-4
2021-12-16,IND vs. DET,IND,DET,Home,W,00:04:03,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,1,0
2021-12-15,IND @ MIL,IND,MIL,Away,L,00:10:50,12,4,4,100.0,0,0,0.0,4,4,100.0,3,1,4,3,0,0,1,1,5
2021-12-13,IND vs. GSW,IND,GSW,Home,L,00:06:56,9,4,4,100.0,0,0,0.0,1,1,100.0,2,1,3,0,0,1,0,1,-8
2021-12-10,IND vs. DAL,IND,DAL,Home,W,00:09:43,10,4,7,57.1,0,0,0.0,2,2,100.0,1,3,4,1,0,0,0,1,7
2021-12-08,IND vs. NYK,IND,NYK,Home,W,00:08:27,5,1,1,100.0,0,0,0.0,3,4,75.0,0,2,2,1,0,0,0,0,6
2021-12-06,IND vs. WAS,IND,WAS,Home,W,00:08:33,10,3,3,100.0,0,0,0.0,4,4,100.0,0,0,0,1,0,1,0,0,3
2021-12-03,IND vs. MIA,IND,MIA,Home,L,00:08:57,2,0,1,0.0,0,1,0.0,2,2,100.0,0,2,2,0,0,0,1,2,-1
2021-12-01,IND vs. ATL,IND,ATL,Home,L,00:09:10,3,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0,2,0,0,0,0,8
2021-11-29,IND @ MIN,IND,MIN,Away,L,00:06:15,5,1,3,33.3,0,2,0.0,3,3,100.0,1,2,3,0,0,0,2,3,-3
2021-11-28,IND vs. MIL,IND,MIL,Home,L,00:08:15,4,1,4,25.0,0,1,0.0,2,3,66.7,0,3,3,2,0,0,0,0,-6
2021-11-26,IND vs. TOR,IND,TOR,Home,W,00:08:55,2,0,1,0.0,0,0,0.0,2,2,100.0,0,4,4,1,0,0,1,1,2
2021-11-24,IND vs. LAL,IND,LAL,Home,L,00:11:58,5,2,3,66.7,0,0,0.0,1,1,100.0,1,4,5,1,0,0,1,0,-4
2021-11-22,IND @ CHI,IND,CHI,Away,W,00:05:32,4,2,3,66.7,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,2,2
2021-11-20,IND vs. NOP,IND,NOP,Home,W,00:06:34,6,1,3,33.3,1,1,100.0,3,4,75.0,0,3,3,2,1,0,1,1,6
2021-11-19,IND @ CHA,IND,CHA,Away,L,00:03:54,1,0,0,0.0,0,0,0.0,1,2,50.0,0,1,1,0,1,0,2,1,-8
2021-11-17,IND @ DET,IND,DET,Away,L,00:09:23,8,3,5,60.0,0,1,0.0,2,2,100.0,1,4,5,0,0,0,0,0,12
2021-11-15,IND @ NYK,IND,NYK,Away,L,00:09:19,6,3,4,75.0,0,0,0.0,0,0,0.0,2,4,6,0,0,0,1,1,10
2021-11-13,IND vs. PHI,IND,PHI,Home,W,00:08:15,0,0,3,0.0,0,1,0.0,0,0,0.0,2,3,5,2,0,0,1,0,0
2021-11-11,IND @ UTA,IND,UTA,Away,W,00:08:05,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-4
