Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-08,PHX @ UTA,PHX,UTA,Away,W,00:12:00,5,2,9,22.2,1,2,50.0,0,0,0.0,0,0,0,1,0,0,1,3,-14
2022-04-05,PHX vs. LAL,PHX,LAL,Home,W,00:12:00,16,6,9,66.7,4,5,80.0,0,0,0.0,0,2,2,1,0,0,0,0,13
2022-04-01,PHX @ MEM,PHX,MEM,Away,L,00:12:00,9,4,8,50.0,1,1,100.0,0,1,0.0,0,0,0,1,0,0,1,1,3
2022-03-30,PHX @ GSW,PHX,GSW,Away,W,00:12:00,5,2,6,33.3,0,1,0.0,1,2,50.0,0,3,3,0,0,0,0,0,0
2022-03-27,PHX vs. PHI,PHX,PHI,Home,W,00:12:00,10,4,6,66.7,0,1,0.0,2,3,66.7,0,1,1,0,0,0,2,0,9
2022-03-24,PHX @ DEN,PHX,DEN,Away,W,00:12:00,19,6,9,66.7,0,0,0.0,7,7,100.0,0,1,1,3,3,1,0,0,0
2022-03-23,PHX @ MIN,PHX,MIN,Away,W,00:12:00,11,2,4,50.0,0,1,0.0,7,7,100.0,0,2,2,4,0,0,1,0,8
2022-03-20,PHX @ SAC,PHX,SAC,Away,W,00:10:14,19,6,9,66.7,2,2,100.0,5,5,100.0,0,3,3,0,0,0,1,3,7
2022-03-18,PHX vs. CHI,PHX,CHI,Home,W,00:12:00,6,3,5,60.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,2,2,10
2022-03-16,PHX @ HOU,PHX,HOU,Away,W,00:12:00,15,6,9,66.7,3,6,50.0,0,0,0.0,0,0,0,2,0,0,1,0,12
2022-03-15,PHX @ NOP,PHX,NOP,Away,W,00:12:00,8,3,7,42.9,1,4,25.0,1,1,100.0,0,2,2,3,2,0,1,1,5
2022-03-13,PHX vs. LAL,PHX,LAL,Home,W,00:11:39,10,4,10,40.0,1,3,33.3,1,1,100.0,0,0,0,3,1,0,1,1,6
2022-03-11,PHX vs. TOR,PHX,TOR,Home,L,00:12:00,13,5,8,62.5,2,3,66.7,1,2,50.0,0,1,1,1,0,0,0,2,-10
2022-03-09,PHX @ MIA,PHX,MIA,Away,W,00:10:39,9,3,5,60.0,1,2,50.0,2,2,100.0,0,2,2,3,0,1,0,2,17
2022-02-27,PHX vs. UTA,PHX,UTA,Home,L,00:12:00,5,2,4,50.0,1,3,33.3,0,2,0.0,0,1,1,3,0,0,1,0,-9
2022-02-25,PHX vs. NOP,PHX,NOP,Home,L,00:12:00,12,4,8,50.0,0,2,0.0,4,4,100.0,0,1,1,1,0,0,0,0,-11
2022-02-24,PHX @ OKC,PHX,OKC,Away,W,00:12:00,6,2,5,40.0,0,1,0.0,2,2,100.0,0,2,2,6,1,0,1,0,5
2022-02-16,PHX vs. HOU,PHX,HOU,Home,W,00:12:00,9,3,6,50.0,0,1,0.0,3,3,100.0,0,2,2,3,3,2,1,1,2
2022-02-15,PHX vs. LAC,PHX,LAC,Home,W,00:12:00,10,4,9,44.4,2,4,50.0,0,0,0.0,0,1,1,1,1,0,2,1,3
2022-02-12,PHX vs. ORL,PHX,ORL,Home,W,00:12:00,16,7,13,53.8,2,5,40.0,0,0,0.0,1,3,4,1,0,1,0,0,8
