Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-03-04,ATL @ WAS,ATL,WAS,Away,W,00:08:27,7,3,3,100.0,0,0,0.0,1,2,50.0,1,1,2,0,0,0,0,0,4
2022-03-03,ATL vs. CHI,ATL,CHI,Home,W,00:09:05,8,3,3,100.0,0,0,0.0,2,2,100.0,0,4,4,1,0,0,0,0,-4
2022-03-01,ATL @ BOS,ATL,BOS,Away,L,00:07:16,0,0,2,0.0,0,0,0.0,0,0,0.0,1,4,5,0,0,0,0,0,-1
2022-02-26,ATL vs. TOR,ATL,TOR,Home,W,00:07:26,2,1,2,50.0,0,0,0.0,0,0,0.0,2,1,3,0,0,1,0,1,-3
2022-02-24,ATL @ CHI,ATL,CHI,Away,L,00:06:34,2,1,3,33.3,0,0,0.0,0,0,0.0,1,4,5,0,0,0,0,0,-10
2022-02-16,ATL @ ORL,ATL,ORL,Away,W,00:08:44,0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,1,0,1,0,0,11
2022-02-15,ATL vs. CLE,ATL,CLE,Home,W,00:09:39,2,1,2,50.0,0,0,0.0,0,0,0.0,0,3,3,1,0,2,1,0,0
2022-02-13,ATL @ BOS,ATL,BOS,Away,L,00:08:17,2,0,0,0.0,0,0,0.0,2,2,100.0,0,8,8,0,0,0,0,1,6
2022-02-11,ATL vs. SAS,ATL,SAS,Home,L,00:07:11,7,3,3,100.0,0,0,0.0,1,2,50.0,2,0,2,0,0,1,1,0,-17
2022-02-08,ATL vs. IND,ATL,IND,Home,W,00:06:54,2,1,1,100.0,0,0,0.0,0,0,0.0,0,6,6,0,1,0,0,1,13
2022-02-06,ATL @ DAL,ATL,DAL,Away,L,00:06:53,4,2,3,66.7,0,0,0.0,0,0,0.0,2,4,6,0,0,0,1,1,1
2022-02-04,ATL @ TOR,ATL,TOR,Away,L,00:05:31,2,1,3,33.3,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,1
2022-02-03,ATL vs. PHX,ATL,PHX,Home,W,00:07:56,2,1,1,100.0,0,0,0.0,0,0,0.0,0,5,5,2,0,0,0,0,2
2022-01-31,ATL vs. TOR,ATL,TOR,Home,L,00:07:19,2,1,1,100.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,-3
2022-01-30,ATL vs. LAL,ATL,LAL,Home,W,00:07:31,5,2,3,66.7,0,0,0.0,1,2,50.0,2,1,3,3,0,0,0,0,-5
2022-01-28,ATL vs. BOS,ATL,BOS,Home,W,00:07:11,4,2,3,66.7,0,0,0.0,0,0,0.0,1,2,3,0,0,1,0,1,-1
2022-01-26,ATL vs. SAC,ATL,SAC,Home,W,00:07:05,4,2,2,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-9
2022-01-23,ATL @ CHA,ATL,CHA,Away,W,00:06:19,4,2,4,50.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,2,3
2022-01-21,ATL vs. MIA,ATL,MIA,Home,W,00:07:37,2,1,1,100.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,4
2022-01-07,ATL @ LAL,ATL,LAL,Away,L,00:06:04,2,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-8
2022-01-05,ATL @ SAC,ATL,SAC,Away,W,00:06:14,5,2,3,66.7,0,0,0.0,1,2,50.0,1,2,3,0,1,0,0,0,4
2022-01-03,ATL @ POR,ATL,POR,Away,L,00:10:20,4,2,2,100.0,0,0,0.0,0,2,0.0,0,2,2,0,0,0,0,0,-7
2021-12-31,ATL @ CLE,ATL,CLE,Away,W,00:10:06,6,3,9,33.3,0,0,0.0,0,0,0.0,6,0,6,1,1,0,0,1,-10
2021-12-29,ATL @ CHI,ATL,CHI,Away,L,00:10:18,6,3,7,42.9,0,0,0.0,0,0,0.0,2,3,5,0,0,0,0,1,-3
2021-12-27,ATL vs. CHI,ATL,CHI,Home,L,00:08:13,6,3,5,60.0,0,0,0.0,0,0,0.0,3,3,6,2,0,0,0,0,6
2021-12-25,ATL @ NYK,ATL,NYK,Away,L,00:06:45,1,0,3,0.0,0,0,0.0,1,2,50.0,2,1,3,0,0,0,0,0,-15
2021-12-17,ATL vs. DEN,ATL,DEN,Home,L,00:06:42,2,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,0,0,2,0,0,-1
2021-12-15,ATL @ ORL,ATL,ORL,Away,W,00:05:41,3,1,2,50.0,0,0,0.0,1,1,100.0,1,4,5,1,0,0,0,0,6
2021-12-13,ATL vs. HOU,ATL,HOU,Home,L,00:09:27,4,2,4,50.0,0,0,0.0,0,0,0.0,2,5,7,0,1,0,0,1,12
2021-12-10,ATL vs. BKN,ATL,BKN,Home,L,00:08:36,6,3,4,75.0,0,0,0.0,0,0,0.0,0,1,1,0,1,1,0,0,2
2021-12-06,ATL @ MIN,ATL,MIN,Away,W,00:06:22,2,1,2,50.0,0,0,0.0,0,0,0.0,1,3,4,1,0,0,1,0,9
