Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-03-28,WAS vs. BOS,WAS,BOS,Home,W,00:05:11,5,2,3,66.7,0,1,0.0,1,1,100.0,1,2,3,0,1,0,0,0,2
2023-03-26,WAS @ TOR,WAS,TOR,Away,L,00:07:00,2,0,2,0.0,0,2,0.0,2,2,100.0,0,1,1,1,0,0,1,2,-3
2023-03-22,WAS vs. DEN,WAS,DEN,Home,L,00:03:48,4,1,2,50.0,0,0,0.0,2,2,100.0,0,0,0,0,0,0,0,0,2
2023-03-21,WAS @ ORL,WAS,ORL,Away,L,00:07:53,7,3,6,50.0,0,2,0.0,1,1,100.0,0,0,0,2,0,0,1,1,-6
2023-03-17,WAS @ CLE,WAS,CLE,Away,L,00:03:38,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,2,1,-5
2023-03-14,WAS vs. DET,WAS,DET,Home,W,00:03:45,0,0,3,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,-11
2023-03-12,WAS @ PHI,WAS,PHI,Away,L,00:04:33,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-11
2023-03-10,WAS vs. ATL,WAS,ATL,Home,L,00:08:07,3,0,1,0.0,0,1,0.0,3,4,75.0,0,2,2,0,0,1,0,1,3
2023-03-08,WAS vs. ATL,WAS,ATL,Home,L,00:08:44,14,5,5,100.0,4,4,100.0,0,0,0.0,0,1,1,0,0,0,0,2,5
2023-03-07,WAS @ DET,WAS,DET,Away,W,00:06:56,6,2,4,50.0,0,2,0.0,2,2,100.0,2,1,3,1,0,0,0,3,-10
2023-03-05,WAS vs. MIL,WAS,MIL,Home,L,00:06:57,0,0,3,0.0,0,1,0.0,0,0,0.0,1,0,1,1,0,0,0,1,-1
2023-03-04,WAS vs. TOR,WAS,TOR,Home,L,00:08:09,6,3,3,100.0,0,0,0.0,0,1,0.0,1,2,3,1,1,0,0,0,11
2023-03-02,WAS vs. TOR,WAS,TOR,Home,W,00:07:23,7,3,4,75.0,1,2,50.0,0,0,0.0,0,2,2,0,0,0,1,1,0
2023-02-24,WAS vs. NYK,WAS,NYK,Home,L,00:11:59,4,0,4,0.0,0,4,0.0,4,4,100.0,1,1,2,0,0,2,1,1,-4
2023-02-16,WAS @ MIN,WAS,MIN,Away,W,00:06:40,2,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,1,16
2023-02-14,WAS @ POR,WAS,POR,Away,W,00:06:10,3,1,3,33.3,0,1,0.0,1,1,100.0,0,1,1,0,0,0,1,1,2
2023-02-13,WAS @ GSW,WAS,GSW,Away,L,00:08:05,7,3,5,60.0,1,2,50.0,0,0,0.0,1,2,3,0,1,0,0,0,3
2023-02-11,WAS vs. IND,WAS,IND,Home,W,00:03:41,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0
2023-02-08,WAS vs. CHA,WAS,CHA,Home,W,00:06:56,8,3,4,75.0,2,3,66.7,0,0,0.0,1,2,3,0,0,0,1,0,-4
2023-02-04,WAS @ BKN,WAS,BKN,Away,L,00:07:39,13,3,4,75.0,1,1,100.0,6,7,85.7,0,1,1,0,0,1,2,3,-6
2023-02-03,WAS vs. POR,WAS,POR,Home,L,00:06:47,2,1,3,33.3,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,-5
2023-01-30,WAS @ SAS,WAS,SAS,Away,W,00:07:24,4,2,3,66.7,0,1,0.0,0,0,0.0,0,3,3,1,0,2,0,1,8
2023-01-18,WAS @ NYK,WAS,NYK,Away,W,00:05:23,0,0,4,0.0,0,0,0.0,0,0,0.0,4,1,5,0,0,0,0,3,-2
2023-01-16,WAS vs. GSW,WAS,GSW,Home,L,00:07:48,4,1,3,33.3,0,1,0.0,2,2,100.0,0,2,2,1,0,1,0,1,-12
2023-01-13,WAS vs. NYK,WAS,NYK,Home,L,00:09:44,12,3,6,50.0,3,4,75.0,3,4,75.0,0,2,2,0,0,0,0,1,8
2023-01-09,WAS vs. NOP,WAS,NOP,Home,L,00:04:28,3,1,2,50.0,1,2,50.0,0,0,0.0,1,3,4,0,0,0,0,0,5
2023-01-03,WAS @ MIL,WAS,MIL,Away,L,00:08:04,4,1,4,25.0,0,2,0.0,2,2,100.0,0,2,2,0,0,0,1,3,-8
2023-01-01,WAS @ MIL,WAS,MIL,Away,W,00:04:15,6,3,3,100.0,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,1,5
2022-12-30,WAS @ ORL,WAS,ORL,Away,W,00:09:30,7,3,3,100.0,1,1,100.0,0,1,0.0,1,2,3,0,1,1,1,1,-6
2022-12-28,WAS vs. PHX,WAS,PHX,Home,W,00:05:42,6,2,4,50.0,1,1,100.0,1,1,100.0,0,2,2,0,0,1,1,0,11
2022-12-27,WAS vs. PHI,WAS,PHI,Home,W,00:08:54,4,1,4,25.0,1,2,50.0,1,2,50.0,0,1,1,1,0,2,0,1,-3
2022-12-23,WAS @ SAC,WAS,SAC,Away,W,00:10:22,2,1,3,33.3,0,1,0.0,0,0,0.0,0,3,3,0,0,0,0,2,-1
2022-12-18,WAS @ LAL,WAS,LAL,Away,L,00:09:23,2,1,4,25.0,0,1,0.0,0,0,0.0,1,0,1,0,0,1,0,1,-2
2022-12-17,WAS @ LAC,WAS,LAC,Away,L,00:09:41,10,4,8,50.0,0,1,0.0,2,2,100.0,1,1,2,0,1,0,0,1,-7
2022-12-10,WAS vs. LAC,WAS,LAC,Home,L,00:09:44,6,1,6,16.7,0,1,0.0,4,4,100.0,0,4,4,0,0,0,1,1,-2
2022-12-09,WAS @ IND,WAS,IND,Away,L,00:07:47,3,0,0,0.0,0,0,0.0,3,4,75.0,1,2,3,2,0,0,2,0,-4
2022-12-07,WAS @ CHI,WAS,CHI,Away,L,00:08:49,9,2,4,50.0,0,2,0.0,5,6,83.3,0,1,1,1,0,0,0,1,-5
2022-12-04,WAS vs. LAL,WAS,LAL,Home,L,00:05:14,5,2,2,100.0,0,0,0.0,1,1,100.0,0,0,0,0,0,0,0,0,0
2022-12-02,WAS @ CHA,WAS,CHA,Away,L,00:12:00,9,1,4,25.0,0,1,0.0,7,7,100.0,1,5,6,0,0,0,1,1,18
2022-11-30,WAS @ BKN,WAS,BKN,Away,L,00:08:54,6,1,2,50.0,0,0,0.0,4,6,66.7,2,3,5,0,0,0,0,1,1
2022-11-28,WAS vs. MIN,WAS,MIN,Home,W,00:05:07,10,4,6,66.7,0,0,0.0,2,2,100.0,2,0,2,2,0,0,0,0,14
2022-11-27,WAS @ BOS,WAS,BOS,Away,L,00:02:24,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-5
2022-11-25,WAS @ MIA,WAS,MIA,Away,L,00:08:54,2,0,3,0.0,0,1,0.0,2,2,100.0,1,1,2,0,0,0,1,1,-9
2022-11-23,WAS @ MIA,WAS,MIA,Away,L,00:08:28,2,1,4,25.0,0,2,0.0,0,0,0.0,0,1,1,2,0,0,1,1,-6
2022-11-20,WAS vs. CHA,WAS,CHA,Home,W,00:09:06,4,1,5,20.0,0,1,0.0,2,2,100.0,2,2,4,1,0,1,1,2,1
2022-11-18,WAS vs. MIA,WAS,MIA,Home,W,00:08:42,4,1,5,20.0,0,3,0.0,2,2,100.0,1,1,2,1,0,0,0,1,1
2022-11-16,WAS vs. OKC,WAS,OKC,Home,L,00:09:06,4,0,2,0.0,0,1,0.0,4,6,66.7,0,1,1,1,0,0,0,0,3
2022-11-13,WAS vs. MEM,WAS,MEM,Home,W,00:09:18,5,1,4,25.0,1,2,50.0,2,2,100.0,2,0,2,2,0,2,0,0,3
2022-11-12,WAS vs. UTA,WAS,UTA,Home,W,00:07:06,10,4,5,80.0,2,2,100.0,0,0,0.0,1,1,2,1,0,0,0,0,7
2022-11-07,WAS @ CHA,WAS,CHA,Away,W,00:05:47,3,1,2,50.0,0,1,0.0,1,2,50.0,0,1,1,2,0,1,0,1,9
