Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-17,DAL vs. OKC,DAL,OKC,Home,W,11.37,5,2,6,33.3,1,3,33.3,0,0,0.0,1,1,2,1,0,0,0,1,-19
2025-01-14,DAL vs. DEN,DAL,DEN,Home,L,12.0,2,1,7,14.3,0,2,0.0,0,0,0.0,0,0,0,2,2,1,0,0,2
2025-01-01,DAL @ HOU,DAL,HOU,Away,L,12.0,8,3,5,60.0,0,1,0.0,2,3,66.7,0,3,3,1,0,1,1,0,-5
2024-12-28,DAL @ POR,DAL,POR,Away,L,9.05,2,1,4,25.0,0,3,0.0,0,0,0.0,0,1,1,0,2,0,1,0,-9
2024-12-27,DAL @ PHX,DAL,PHX,Away,W,12.0,5,1,7,14.3,1,2,50.0,2,2,100.0,0,3,3,1,0,0,2,0,-8
2024-12-25,DAL vs. MIN,DAL,MIN,Home,L,7.45,11,4,5,80.0,3,3,100.0,0,0,0.0,0,1,1,1,0,0,0,0,-4
2024-12-23,DAL vs. POR,DAL,POR,Home,W,9.08,9,2,3,66.7,1,1,100.0,4,4,100.0,0,1,1,1,1,1,0,0,15
2024-12-21,DAL vs. LAC,DAL,LAC,Home,W,7.58,5,2,4,50.0,1,2,50.0,0,0,0.0,0,0,0,0,0,0,0,0,-5
2024-12-15,DAL @ GSW,DAL,GSW,Away,W,9.46,4,2,4,50.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,0,1
2024-12-10,DAL @ OKC,DAL,OKC,Away,L,10.05,2,1,5,20.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,1,-11
2024-12-07,DAL @ TOR,DAL,TOR,Away,W,12.0,7,2,5,40.0,2,3,66.7,1,1,100.0,0,1,1,1,1,0,1,1,-3
2024-12-05,DAL @ WAS,DAL,WAS,Away,W,7.57,7,3,4,75.0,1,2,50.0,0,0,0.0,0,0,0,1,1,0,1,1,0
2024-12-03,DAL vs. MEM,DAL,MEM,Home,W,9.13,2,1,3,33.3,0,1,0.0,0,0,0.0,1,0,1,1,0,0,1,0,-12
2024-11-30,DAL @ UTA,DAL,UTA,Away,W,11.35,9,3,8,37.5,2,4,50.0,1,1,100.0,1,2,3,1,2,0,0,0,3
2024-11-27,DAL vs. NYK,DAL,NYK,Home,W,7.03,6,3,4,75.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,-7
2024-11-25,DAL @ ATL,DAL,ATL,Away,W,12.0,6,2,7,28.6,0,2,0.0,2,2,100.0,1,1,2,2,0,0,1,0,7
2024-11-24,DAL @ MIA,DAL,MIA,Away,L,8.07,0,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
2024-11-22,DAL @ DEN,DAL,DEN,Away,W,9.43,2,1,3,33.3,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,1,-16
2024-11-19,DAL vs. NOP,DAL,NOP,Home,W,12.0,6,2,5,40.0,2,2,100.0,0,0,0.0,1,0,1,4,0,0,0,0,16
2024-11-17,DAL @ OKC,DAL,OKC,Away,W,9.3,7,2,4,50.0,1,1,100.0,2,2,100.0,1,0,1,2,0,0,0,0,1
2024-11-16,DAL vs. SAS,DAL,SAS,Home,W,11.35,11,4,7,57.1,1,3,33.3,2,2,100.0,1,3,4,3,1,0,0,0,20
2024-11-12,DAL @ GSW,DAL,GSW,Away,L,9.18,4,1,4,25.0,0,1,0.0,2,2,100.0,0,1,1,1,0,0,3,2,-12
2024-11-10,DAL @ DEN,DAL,DEN,Away,L,8.07,11,5,5,100.0,1,1,100.0,0,0,0.0,0,0,0,1,0,0,0,0,-2
2024-11-08,DAL vs. PHX,DAL,PHX,Home,L,10.09,10,4,4,100.0,0,0,0.0,2,3,66.7,1,3,4,1,0,0,0,0,10
2024-11-06,DAL vs. CHI,DAL,CHI,Home,W,9.45,2,1,3,33.3,0,1,0.0,0,0,0.0,0,3,3,1,1,0,1,0,10
2024-11-04,DAL vs. IND,DAL,IND,Home,L,9.38,6,2,3,66.7,0,1,0.0,2,2,100.0,0,0,0,2,0,0,0,2,4
2024-11-03,DAL vs. ORL,DAL,ORL,Home,W,9.47,7,2,5,40.0,0,1,0.0,3,3,100.0,0,1,1,0,1,0,0,1,5
2024-10-31,DAL vs. HOU,DAL,HOU,Home,L,12.0,14,5,8,62.5,2,2,100.0,2,2,100.0,0,2,2,1,0,0,1,0,-3
2024-10-29,DAL @ MIN,DAL,MIN,Away,W,11.03,16,6,10,60.0,4,6,66.7,0,0,0.0,0,1,1,2,0,0,0,1,8
2024-10-28,DAL vs. UTA,DAL,UTA,Home,W,10.15,7,3,8,37.5,1,4,25.0,0,0,0.0,2,1,3,3,0,0,1,0,7
2024-10-26,DAL @ PHX,DAL,PHX,Away,L,9.18,5,2,5,40.0,0,0,0.0,1,1,100.0,0,0,0,1,1,0,0,1,-6
2024-10-24,DAL vs. SAS,DAL,SAS,Home,W,10.28,8,3,9,33.3,2,5,40.0,0,0,0.0,0,2,2,0,2,0,0,0,15
