Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-19,LAC vs. LAL,LAC,LAL,Home,W,7.2,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,7
2025-01-16,LAC @ POR,LAC,POR,Away,W,6.44,1,0,2,0.0,0,1,0.0,1,2,50.0,1,1,2,0,0,0,0,0,15
2025-01-15,LAC vs. BKN,LAC,BKN,Home,W,5.12,10,4,4,100.0,2,2,100.0,0,0,0.0,0,1,1,0,3,0,1,1,24
2025-01-13,LAC vs. MIA,LAC,MIA,Home,W,9.14,11,4,5,80.0,3,4,75.0,0,0,0.0,0,3,3,0,0,0,0,0,12
2025-01-08,LAC @ DEN,LAC,DEN,Away,L,8.43,16,4,7,57.1,2,5,40.0,6,9,66.7,0,1,1,0,0,0,0,2,-8
2025-01-06,LAC @ MIN,LAC,MIN,Away,L,8.06,2,1,3,33.3,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,0,-9
2025-01-04,LAC vs. ATL,LAC,ATL,Home,W,7.34,0,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1
2025-01-02,LAC @ OKC,LAC,OKC,Away,L,6.54,1,0,4,0.0,0,3,0.0,1,2,50.0,0,1,1,1,0,0,2,1,-16
2024-12-31,LAC @ SAS,LAC,SAS,Away,L,6.4,3,1,5,20.0,1,5,20.0,0,0,0.0,0,1,1,0,0,0,0,0,-7
2024-12-30,LAC @ NOP,LAC,NOP,Away,W,7.36,2,1,5,20.0,0,2,0.0,0,0,0.0,0,0,0,1,1,0,0,0,-2
2024-12-27,LAC vs. GSW,LAC,GSW,Home,W,10.37,5,2,6,33.3,1,3,33.3,0,0,0.0,0,0,0,0,0,0,0,2,9
2024-12-23,LAC @ MEM,LAC,MEM,Away,W,9.01,10,4,6,66.7,0,0,0.0,2,4,50.0,0,2,2,0,1,0,1,1,9
2024-12-21,LAC @ DAL,LAC,DAL,Away,L,10.02,4,1,5,20.0,0,2,0.0,2,2,100.0,1,2,3,1,0,0,0,0,5
2024-12-19,LAC @ DAL,LAC,DAL,Away,W,7.37,7,3,3,100.0,1,1,100.0,0,0,0.0,0,1,1,2,1,0,1,0,5
2024-12-16,LAC vs. UTA,LAC,UTA,Home,W,8.33,13,6,7,85.7,1,2,50.0,0,0,0.0,0,0,0,0,1,0,0,1,-1
2024-12-13,LAC @ DEN,LAC,DEN,Away,L,8.46,5,2,5,40.0,1,4,25.0,0,0,0.0,0,1,1,0,0,0,0,1,-11
2024-12-08,LAC vs. HOU,LAC,HOU,Home,L,12.0,7,3,7,42.9,1,4,25.0,0,0,0.0,0,1,1,2,1,0,1,2,0
2024-12-03,LAC vs. POR,LAC,POR,Home,W,6.44,3,1,3,33.3,1,2,50.0,0,0,0.0,0,0,0,1,0,0,1,1,2
2024-12-01,LAC vs. DEN,LAC,DEN,Home,W,6.07,11,4,5,80.0,3,3,100.0,0,0,0.0,0,0,0,0,1,0,0,0,6
2024-11-18,LAC vs. GSW,LAC,GSW,Home,W,6.33,3,1,3,33.3,1,1,100.0,0,0,0.0,0,0,0,0,1,0,1,0,-3
2024-11-17,LAC vs. UTA,LAC,UTA,Home,W,12.0,5,2,5,40.0,1,3,33.3,0,0,0.0,0,0,0,1,0,0,0,0,1
2024-11-15,LAC @ HOU,LAC,HOU,Away,L,12.0,6,2,6,33.3,1,3,33.3,1,2,50.0,0,1,1,0,0,0,0,0,1
2024-11-13,LAC @ HOU,LAC,HOU,Away,L,9.46,2,1,5,20.0,0,1,0.0,0,0,0.0,0,3,3,2,0,0,2,2,-3
2024-11-11,LAC @ OKC,LAC,OKC,Away,L,12.0,18,6,7,85.7,3,3,100.0,3,4,75.0,0,1,1,3,2,0,1,1,8
2024-11-09,LAC vs. TOR,LAC,TOR,Home,W,7.59,4,2,4,50.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,1,1
2024-11-08,LAC @ SAC,LAC,SAC,Away,W,9.46,7,2,7,28.6,0,1,0.0,3,3,100.0,1,1,2,0,0,0,0,0,3
2024-11-06,LAC vs. PHI,LAC,PHI,Home,W,7.43,3,1,1,100.0,1,1,100.0,0,0,0.0,0,1,1,2,0,0,0,1,4
2024-11-04,LAC vs. SAS,LAC,SAS,Home,W,8.23,7,2,4,50.0,2,3,66.7,1,1,100.0,0,1,1,0,0,0,0,0,-3
2024-11-02,LAC vs. OKC,LAC,OKC,Home,L,12.0,9,3,6,50.0,1,3,33.3,2,2,100.0,0,0,0,1,0,0,1,0,-7
2024-10-31,LAC vs. PHX,LAC,PHX,Home,L,4.46,3,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,0,0,0,0,0,-7
2024-10-30,LAC vs. POR,LAC,POR,Home,L,9.31,11,4,7,57.1,3,5,60.0,0,0,0.0,0,0,0,1,0,0,0,0,9
2024-10-27,LAC @ GSW,LAC,GSW,Away,W,12.0,16,6,8,75.0,2,4,50.0,2,2,100.0,0,1,1,0,0,0,0,1,2
2024-10-26,LAC @ DEN,LAC,DEN,Away,W,8.44,5,2,5,40.0,1,3,33.3,0,0,0.0,0,0,0,0,0,0,0,0,-6
2024-10-23,LAC vs. PHX,LAC,PHX,Home,L,8.27,2,0,2,0.0,0,1,0.0,2,2,100.0,0,1,1,0,0,0,1,0,12
