Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-13,CHI vs. TOR,CHI,TOR,Home,W,00:09:26,8,2,4,50.0,0,1,0.0,4,4,100.0,0,1,1,0,0,0,0,1,-3
2021-05-11,CHI vs. BKN,CHI,BKN,Home,L,00:10:58,11,4,7,57.1,2,3,66.7,1,2,50.0,0,1,1,0,0,0,1,0,-6
2021-05-09,CHI @ DET,CHI,DET,Away,W,00:09:02,5,0,1,0.0,0,1,0.0,5,5,100.0,0,0,0,2,0,0,1,2,0
2021-05-07,CHI vs. BOS,CHI,BOS,Home,W,00:09:02,8,3,8,37.5,1,3,33.3,1,1,100.0,0,1,1,1,0,0,0,2,0
2021-05-06,CHI @ CHA,CHI,CHA,Away,W,00:05:53,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,0,6
2021-04-14,CHI vs. ORL,CHI,ORL,Home,L,00:08:22,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,1,0,1,-9
2021-04-12,CHI @ MEM,CHI,MEM,Away,L,00:07:45,5,2,3,66.7,0,1,0.0,1,2,50.0,0,2,2,3,0,0,2,1,5
2021-04-11,CHI @ MIN,CHI,MIN,Away,L,00:12:00,14,6,10,60.0,2,5,40.0,0,0,0.0,0,4,4,2,0,0,0,1,7
2021-04-09,CHI @ ATL,CHI,ATL,Away,L,00:08:11,5,2,3,66.7,0,1,0.0,1,2,50.0,0,1,1,2,0,0,0,0,-11
2021-04-08,CHI @ TOR,CHI,TOR,Away,W,00:09:09,0,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,4,0,0,1,0,14
2021-04-06,CHI @ IND,CHI,IND,Away,W,00:07:58,5,2,3,66.7,1,2,50.0,0,0,0.0,0,2,2,3,0,0,1,0,7
2021-04-04,CHI vs. BKN,CHI,BKN,Home,W,00:07:38,6,2,5,40.0,0,1,0.0,2,2,100.0,1,0,1,2,0,0,1,0,11
2021-04-02,CHI @ UTA,CHI,UTA,Away,L,00:08:40,7,3,7,42.9,1,4,25.0,0,0,0.0,0,2,2,0,0,0,1,0,-1
2021-03-29,CHI @ GSW,CHI,GSW,Away,L,00:08:05,3,1,5,20.0,0,2,0.0,1,2,50.0,1,1,2,1,0,0,1,1,-2
2021-03-27,CHI @ SAS,CHI,SAS,Away,L,00:10:27,13,4,7,57.1,1,3,33.3,4,4,100.0,0,0,0,0,0,0,0,0,-2
2021-03-24,CHI vs. CLE,CHI,CLE,Home,L,00:10:05,0,0,5,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,2,0,-8
2021-03-22,CHI vs. UTA,CHI,UTA,Home,L,00:10:50,12,5,10,50.0,1,3,33.3,1,1,100.0,1,2,3,2,0,0,0,0,-4
2021-03-21,CHI @ DET,CHI,DET,Away,W,00:12:00,10,4,9,44.4,2,4,50.0,0,0,0.0,0,0,0,0,0,0,3,0,9
2021-03-19,CHI @ DEN,CHI,DEN,Away,L,00:08:51,11,4,5,80.0,3,4,75.0,0,0,0.0,0,1,1,3,0,0,0,0,3
2021-03-17,CHI vs. SAS,CHI,SAS,Home,L,00:11:03,4,2,5,40.0,0,1,0.0,0,0,0.0,0,2,2,2,0,1,1,2,-2
2021-03-16,CHI vs. OKC,CHI,OKC,Home,W,00:10:27,20,8,9,88.9,3,4,75.0,1,1,100.0,1,1,2,0,1,0,0,1,16
2021-03-14,CHI vs. TOR,CHI,TOR,Home,W,00:09:13,3,1,3,33.3,0,2,0.0,1,3,33.3,0,1,1,1,0,0,1,1,3
2021-03-12,CHI vs. MIA,CHI,MIA,Home,L,00:12:00,15,5,6,83.3,3,3,100.0,2,2,100.0,0,1,1,0,0,0,2,0,-2
2021-03-11,CHI vs. PHI,CHI,PHI,Home,L,00:10:06,8,3,5,60.0,0,2,0.0,2,2,100.0,0,1,1,2,0,0,1,0,-3
2021-03-03,CHI @ NOP,CHI,NOP,Away,W,00:12:00,12,5,7,71.4,1,3,33.3,1,1,100.0,0,1,1,1,0,0,1,0,-2
2021-03-01,CHI vs. DEN,CHI,DEN,Home,L,00:07:14,3,1,3,33.3,0,1,0.0,1,2,50.0,1,1,2,0,1,0,1,0,-1
2021-02-26,CHI vs. PHX,CHI,PHX,Home,L,00:10:04,4,2,5,40.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,0,-6
2021-02-24,CHI vs. MIN,CHI,MIN,Home,W,00:12:00,9,3,5,60.0,1,2,50.0,2,2,100.0,0,1,1,0,0,0,2,0,-4
2021-02-22,CHI @ HOU,CHI,HOU,Away,W,00:08:58,14,5,5,100.0,3,3,100.0,1,1,100.0,0,2,2,1,0,0,0,0,16
2021-02-20,CHI vs. SAC,CHI,SAC,Home,W,00:10:07,7,3,5,60.0,1,3,33.3,0,0,0.0,0,1,1,1,0,0,1,0,1
2021-02-19,CHI @ PHI,CHI,PHI,Away,L,00:12:00,8,2,6,33.3,1,2,50.0,3,3,100.0,0,0,0,0,1,0,1,0,-1
2021-02-17,CHI vs. DET,CHI,DET,Home,W,00:10:17,15,6,8,75.0,1,1,100.0,2,3,66.7,0,1,1,1,2,0,2,0,15
2021-02-15,CHI @ IND,CHI,IND,Away,W,00:08:55,3,1,4,25.0,1,2,50.0,0,0,0.0,0,1,1,0,0,0,0,1,-6
2021-02-12,CHI vs. LAC,CHI,LAC,Home,L,00:09:50,2,1,4,25.0,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,1,-4
2021-02-10,CHI vs. NOP,CHI,NOP,Home,W,00:10:30,10,3,5,60.0,2,3,66.7,2,2,100.0,0,3,3,1,0,1,1,0,25
2021-02-08,CHI vs. WAS,CHI,WAS,Home,L,00:10:09,12,5,6,83.3,2,2,100.0,0,1,0.0,0,0,0,3,1,0,0,1,3
2021-02-06,CHI @ ORL,CHI,ORL,Away,W,00:10:27,6,2,5,40.0,0,1,0.0,2,5,40.0,1,1,2,2,0,0,1,0,12
2021-02-05,CHI @ ORL,CHI,ORL,Away,L,00:05:42,0,0,3,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,0,-1
2021-02-03,CHI vs. NYK,CHI,NYK,Home,L,00:12:00,10,4,7,57.1,0,3,0.0,2,2,100.0,0,0,0,2,0,0,0,0,-4
2021-02-01,CHI vs. NYK,CHI,NYK,Home,W,00:07:11,7,3,4,75.0,1,2,50.0,0,0,0.0,0,1,1,1,1,0,0,1,4
2021-01-30,CHI vs. POR,CHI,POR,Home,L,00:10:16,8,2,2,100.0,2,2,100.0,2,2,100.0,0,1,1,1,0,0,1,0,10
2021-01-25,CHI vs. BOS,CHI,BOS,Home,L,00:08:43,9,4,4,100.0,1,1,100.0,0,0,0.0,0,0,0,1,0,0,1,0,-5
2021-01-23,CHI vs. LAL,CHI,LAL,Home,L,00:10:06,7,2,6,33.3,1,2,50.0,2,2,100.0,0,3,3,1,1,0,1,2,12
2021-01-22,CHI @ CHA,CHI,CHA,Away,W,00:08:22,1,0,2,0.0,0,1,0.0,1,1,100.0,2,1,3,4,0,1,1,0,7
2021-01-18,CHI vs. HOU,CHI,HOU,Home,W,00:12:00,14,5,6,83.3,3,4,75.0,1,1,100.0,0,1,1,2,0,0,1,0,-5
2021-01-17,CHI @ DAL,CHI,DAL,Away,W,00:09:53,4,1,4,25.0,0,2,0.0,2,2,100.0,0,0,0,2,1,0,1,2,2
2021-01-15,CHI @ OKC,CHI,OKC,Away,L,00:10:32,8,2,4,50.0,2,3,66.7,2,4,50.0,1,0,1,2,0,0,2,0,-13
2021-01-10,CHI @ LAC,CHI,LAC,Away,L,00:12:00,15,5,8,62.5,5,8,62.5,0,0,0.0,0,1,1,2,0,0,1,2,-7
2021-01-08,CHI @ LAL,CHI,LAL,Away,L,00:11:11,8,2,5,40.0,1,3,33.3,3,3,100.0,0,1,1,3,0,0,0,0,-1
2021-01-06,CHI @ SAC,CHI,SAC,Away,L,00:09:02,7,3,5,60.0,0,1,0.0,1,2,50.0,0,3,3,1,0,1,0,2,1
