Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-09,PHI vs. IND,PHI,IND,Home,W,00:07:23,8,2,2,100.0,1,1,100.0,3,4,75.0,1,2,3,1,1,0,2,2,7
2022-04-07,PHI @ TOR,PHI,TOR,Away,L,00:08:57,7,1,6,16.7,0,2,0.0,5,5,100.0,0,2,2,0,0,0,1,1,3
2022-04-05,PHI @ IND,PHI,IND,Away,W,00:09:19,6,1,4,25.0,0,0,0.0,4,4,100.0,0,2,2,1,0,1,0,0,4
2022-04-03,PHI @ CLE,PHI,CLE,Away,W,00:07:57,13,5,9,55.6,0,0,0.0,3,4,75.0,4,1,5,0,0,1,0,0,4
2022-03-31,PHI @ DET,PHI,DET,Away,L,00:06:20,4,2,3,66.7,0,0,0.0,0,0,0.0,0,0,0,0,1,1,2,1,-9
2022-03-29,PHI vs. MIL,PHI,MIL,Home,L,00:09:22,8,3,6,50.0,2,2,100.0,0,1,0.0,1,5,6,1,0,0,1,0,-4
2022-03-27,PHI @ PHX,PHI,PHX,Away,L,00:08:33,8,3,7,42.9,0,1,0.0,2,2,100.0,2,2,4,0,2,1,1,1,-2
2022-03-23,PHI @ LAL,PHI,LAL,Away,W,00:08:24,4,0,1,0.0,0,0,0.0,4,4,100.0,0,1,1,1,0,0,2,2,0
2022-03-20,PHI vs. TOR,PHI,TOR,Home,L,00:07:32,5,2,4,50.0,0,0,0.0,1,1,100.0,0,2,2,0,1,1,1,2,0
2022-03-18,PHI vs. DAL,PHI,DAL,Home,W,00:05:47,6,3,7,42.9,0,2,0.0,0,0,0.0,0,2,2,1,0,1,0,0,-2
2022-03-16,PHI @ CLE,PHI,CLE,Away,W,00:07:20,8,2,2,100.0,0,0,0.0,4,5,80.0,0,1,1,1,0,0,1,1,7
2022-03-14,PHI vs. DEN,PHI,DEN,Home,L,00:12:00,5,2,5,40.0,0,0,0.0,1,2,50.0,1,2,3,3,0,1,2,2,-10
2022-03-13,PHI @ ORL,PHI,ORL,Away,W,00:07:00,8,1,3,33.3,1,2,50.0,5,7,71.4,1,3,4,1,0,1,0,0,4
2022-03-07,PHI vs. CHI,PHI,CHI,Home,W,00:05:51,5,2,6,33.3,0,0,0.0,1,2,50.0,1,2,3,1,1,2,0,1,2
2022-03-05,PHI @ MIA,PHI,MIA,Away,L,00:06:54,4,0,2,0.0,0,2,0.0,4,4,100.0,0,2,2,0,0,0,1,0,-9
