Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-01,LAL vs. NOP,LAL,NOP,Home,L,12.0,21,6,10,60.0,2,5,40.0,7,8,87.5,0,2,2,0,1,0,1,2,1
2022-03-27,LAL @ NOP,LAL,NOP,Away,L,9.29,10,3,6,50.0,1,1,100.0,3,4,75.0,1,2,3,1,0,0,2,0,-12
2022-03-21,LAL @ CLE,LAL,CLE,Away,W,10.12,4,2,5,40.0,0,2,0.0,0,0,0.0,0,3,3,4,1,0,1,0,-2
2022-03-19,LAL @ WAS,LAL,WAS,Away,L,9.23,10,4,7,57.1,1,2,50.0,1,1,100.0,1,0,1,1,0,0,0,0,5
2022-03-18,LAL @ TOR,LAL,TOR,Away,W,8.45,2,1,3,33.3,0,1,0.0,0,1,0.0,0,1,1,3,0,0,0,1,-6
2022-03-16,LAL @ MIN,LAL,MIN,Away,L,9.56,8,4,7,57.1,0,2,0.0,0,0,0.0,0,2,2,1,0,1,1,2,7
2022-03-14,LAL vs. TOR,LAL,TOR,Home,L,8.56,8,3,5,60.0,2,4,50.0,0,1,0.0,0,2,2,0,0,2,0,0,-10
2022-03-13,LAL @ PHX,LAL,PHX,Away,L,12.0,16,6,9,66.7,4,6,66.7,0,0,0.0,0,0,0,2,0,0,0,0,-6
2022-03-11,LAL vs. WAS,LAL,WAS,Home,W,9.57,19,6,10,60.0,2,4,50.0,5,5,100.0,0,3,3,0,0,0,0,1,14
2022-03-09,LAL @ HOU,LAL,HOU,Away,L,9.47,6,3,5,60.0,0,2,0.0,0,0,0.0,1,4,5,4,1,0,2,0,2
2022-03-05,LAL vs. GSW,LAL,GSW,Home,W,8.54,14,4,9,44.4,2,4,50.0,4,4,100.0,0,1,1,0,0,1,1,0,-3
2022-03-03,LAL @ LAC,LAL,LAC,Away,L,9.43,6,2,5,40.0,1,4,25.0,1,2,50.0,0,2,2,1,0,0,2,1,-18
2022-03-01,LAL vs. DAL,LAL,DAL,Home,L,9.23,9,3,4,75.0,3,4,75.0,0,0,0.0,0,4,4,1,1,0,0,0,17
2022-02-27,LAL vs. NOP,LAL,NOP,Home,L,10.19,8,3,8,37.5,0,1,0.0,2,2,100.0,0,2,2,1,0,1,2,0,-14
2022-02-25,LAL vs. LAC,LAL,LAC,Home,L,9.03,5,2,6,33.3,0,2,0.0,1,2,50.0,1,4,5,2,1,1,2,1,15
2022-02-16,LAL vs. UTA,LAL,UTA,Home,W,9.09,5,2,3,66.7,0,1,0.0,1,1,100.0,0,1,1,0,2,0,1,0,4
2022-02-12,LAL @ GSW,LAL,GSW,Away,L,8.06,5,1,5,20.0,1,4,25.0,2,2,100.0,0,3,3,4,0,0,0,1,-3
2022-02-09,LAL @ POR,LAL,POR,Away,L,7.09,2,1,5,20.0,0,3,0.0,0,0,0.0,0,0,0,3,1,0,2,0,-6
2022-02-08,LAL vs. MIL,LAL,MIL,Home,L,8.29,6,3,5,60.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,2,2,-8
2022-02-05,LAL vs. NYK,LAL,NYK,Home,W,8.27,2,1,3,33.3,0,1,0.0,0,0,0.0,0,4,4,3,1,0,0,1,15
2022-01-25,LAL @ BKN,LAL,BKN,Away,W,9.35,12,5,6,83.3,2,3,66.7,0,0,0.0,0,1,1,2,0,0,0,0,1
2022-01-23,LAL @ MIA,LAL,MIA,Away,L,10.09,4,2,5,40.0,0,3,0.0,0,0,0.0,0,1,1,1,0,0,0,0,-5
2022-01-21,LAL @ ORL,LAL,ORL,Away,W,7.38,4,2,5,40.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,1,1,15
2022-01-19,LAL vs. IND,LAL,IND,Home,L,7.29,3,1,5,20.0,1,3,33.3,0,0,0.0,0,0,0,0,0,0,1,0,-6
2022-01-17,LAL vs. UTA,LAL,UTA,Home,W,7.6,7,3,7,42.9,1,2,50.0,0,0,0.0,0,1,1,1,1,0,1,1,-4
2022-01-15,LAL @ DEN,LAL,DEN,Away,L,8.56,6,2,7,28.6,1,4,25.0,1,2,50.0,0,2,2,0,0,1,0,0,-7
2022-01-12,LAL @ SAC,LAL,SAC,Away,L,8.29,5,2,6,33.3,0,3,0.0,1,2,50.0,0,1,1,1,0,0,0,0,-17
2022-01-09,LAL vs. MEM,LAL,MEM,Home,L,9.58,9,4,5,80.0,0,1,0.0,1,1,100.0,2,2,4,2,0,0,2,1,-16
2022-01-07,LAL vs. ATL,LAL,ATL,Home,W,7.34,6,2,5,40.0,0,1,0.0,2,2,100.0,1,2,3,2,0,1,1,2,4
2022-01-04,LAL vs. SAC,LAL,SAC,Home,W,7.38,4,1,4,25.0,0,1,0.0,2,2,100.0,1,1,2,1,0,0,1,0,-2
2022-01-02,LAL vs. MIN,LAL,MIN,Home,W,10.05,8,2,4,50.0,1,3,33.3,3,3,100.0,0,3,3,0,0,0,1,1,-3
2021-12-31,LAL vs. POR,LAL,POR,Home,W,8.38,9,4,6,66.7,0,0,0.0,1,2,50.0,0,3,3,2,0,2,0,0,7
2021-12-29,LAL @ MEM,LAL,MEM,Away,L,9.17,14,5,7,71.4,3,4,75.0,1,1,100.0,0,1,1,1,1,0,1,0,4
2021-12-28,LAL @ HOU,LAL,HOU,Away,W,7.22,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,4,0,1,0,1,-7
2021-12-25,LAL vs. BKN,LAL,BKN,Home,L,8.17,4,2,5,40.0,0,2,0.0,0,0,0.0,0,0,0,0,1,0,1,1,-7
