Player,AST,confidence_level_AST,middlebet_AST
Jayson Tatum,3 to 6,55.38,3
Tyler Herro,3 to 6,63.91,4
Andrew Wiggins,0 to 2,35.51,0
Derrick White,1 to 3,47.82,1
Bam Adebayo,1 to 5,35.2,2
Sam Hauser,0 to 0,27.74,0
Jrue Holiday,4 to 13,38.17,7
Duncan Robinson,0 to 4,16.85,1
Al Horford,0 to 5,14.31,1
Kel'el Ware,0 to 1,3.82,0
Terry Rozier,0 to 1,36.76,0
Davion Mitchell,1 to 3,44.32,1
Kris Dunn,7 to 12,58.62,8
Kawhi Leonard,1 to 3,43.24,1
James Harden,4 to 7,64.27,5
Nicolas Batum,0 to 1,0.0,0
Ivica Zubac,0 to 1,38.63,0
Dyson Daniels,2 to 4,61.47,3
Zaccharie Risacher,0 to 1,12.06,0
Trae Young,6 to 10,65.18,8
Mouhamed Gueye,0 to 1,20.14,0
Onyeka Okongwu,1 to 3,50.12,1
Josh Green,0 to 0,9.41,0
DaQuan Jeffries,0 to 1,15.8,0
LaMelo Ball,4 to 7,57.31,6
Miles Bridges,0 to 2,40.33,0
Mark Williams,0 to 0,46.25,0
Stephon Castle,1 to 3,40.91,1
Devin Vassell,0 to 2,38.45,0
Chris Paul,4 to 6,72.34,5
Harrison Barnes,0 to 1,26.81,0
Bismack Biyombo,0 to 0,17.88,0
