Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-11,HOU @ SAS,HOU,SAS,Away,L,00:10:08,10,4,6,66.7,2,3,66.7,0,0,0.0,0,2,2,0,1,0,4,0,-5
2020-08-04,HOU @ POR,HOU,POR,Away,L,00:08:33,3,1,4,25.0,0,1,0.0,1,2,50.0,0,2,2,2,0,0,1,0,-3
2020-08-02,HOU vs. MIL,HOU,MIL,Home,W,00:10:14,4,2,6,33.3,0,2,0.0,0,0,0.0,0,3,3,2,0,1,2,0,-10
2020-07-31,HOU @ DAL,HOU,DAL,Away,W,00:08:24,7,3,7,42.9,0,0,0.0,1,2,50.0,2,1,3,3,0,0,0,1,10
2020-03-10,HOU vs. MIN,HOU,MIN,Home,W,00:09:23,10,4,5,80.0,0,0,0.0,2,3,66.7,0,0,0,2,3,0,3,1,4
2020-03-08,HOU vs. ORL,HOU,ORL,Home,L,00:09:09,7,3,5,60.0,0,0,0.0,1,1,100.0,1,3,4,2,0,0,3,1,-8
2020-03-05,HOU vs. LAC,HOU,LAC,Home,L,00:09:37,8,4,11,36.4,0,0,0.0,0,2,0.0,3,4,7,1,0,0,2,0,0
2020-03-02,HOU @ NYK,HOU,NYK,Away,L,00:08:35,1,0,3,0.0,0,1,0.0,1,2,50.0,0,1,1,0,0,0,0,1,-6
2020-02-29,HOU @ BOS,HOU,BOS,Away,W,00:09:32,9,3,4,75.0,0,0,0.0,3,4,75.0,0,0,0,2,1,0,1,1,12
2020-02-26,HOU vs. MEM,HOU,MEM,Home,W,00:08:42,8,3,5,60.0,1,1,100.0,1,1,100.0,0,1,1,3,1,0,2,0,7
2020-02-22,HOU @ UTA,HOU,UTA,Away,W,00:09:55,12,6,8,75.0,0,0,0.0,0,0,0.0,0,1,1,2,1,0,0,2,15
2020-02-20,HOU @ GSW,HOU,GSW,Away,W,00:06:56,2,1,3,33.3,0,0,0.0,0,0,0.0,0,2,2,4,0,0,0,1,5
2020-02-11,HOU vs. BOS,HOU,BOS,Home,W,00:08:59,8,3,4,75.0,0,0,0.0,2,4,50.0,0,3,3,0,1,0,1,1,5
2020-02-09,HOU vs. UTA,HOU,UTA,Home,L,00:08:21,12,6,10,60.0,0,0,0.0,0,1,0.0,1,1,2,0,1,0,0,1,2
2020-02-06,HOU @ LAL,HOU,LAL,Away,W,00:09:54,16,8,9,88.9,0,0,0.0,0,0,0.0,0,1,1,2,1,0,3,0,7
2020-02-02,HOU vs. NOP,HOU,NOP,Home,W,00:10:03,9,4,9,44.4,1,2,50.0,0,0,0.0,0,0,0,0,1,0,0,1,-9
2020-01-31,HOU vs. DAL,HOU,DAL,Home,W,00:09:56,16,6,8,75.0,0,0,0.0,4,4,100.0,2,0,2,4,1,0,0,1,12
2020-01-29,HOU @ POR,HOU,POR,Away,L,00:08:23,8,4,9,44.4,0,1,0.0,0,0,0.0,1,0,1,0,1,0,1,1,-2
2020-01-26,HOU @ DEN,HOU,DEN,Away,L,00:09:17,10,4,7,57.1,0,0,0.0,2,3,66.7,0,2,2,1,0,0,2,3,-3
2020-01-24,HOU @ MIN,HOU,MIN,Away,W,00:08:57,12,5,7,71.4,0,0,0.0,2,2,100.0,0,3,3,3,0,0,0,1,0
2020-01-22,HOU vs. DEN,HOU,DEN,Home,W,00:10:14,8,3,8,37.5,0,0,0.0,2,2,100.0,4,4,8,2,0,0,1,1,7
2020-01-20,HOU vs. OKC,HOU,OKC,Home,L,00:09:07,10,5,6,83.3,0,0,0.0,0,0,0.0,1,2,3,1,0,0,1,0,7
2020-01-18,HOU vs. LAL,HOU,LAL,Home,L,00:09:32,4,2,6,33.3,0,0,0.0,0,2,0.0,2,1,3,1,1,0,2,3,-10
2020-01-15,HOU vs. POR,HOU,POR,Home,L,00:10:05,9,2,5,40.0,1,2,50.0,4,6,66.7,0,5,5,2,0,0,0,0,4
2020-01-11,HOU vs. MIN,HOU,MIN,Home,W,00:09:08,10,3,7,42.9,0,1,0.0,4,4,100.0,0,1,1,1,1,0,1,0,9
2020-01-09,HOU @ OKC,HOU,OKC,Away,L,00:09:42,12,6,13,46.2,0,4,0.0,0,0,0.0,0,0,0,0,0,0,2,2,-4
2020-01-03,HOU vs. PHI,HOU,PHI,Home,W,00:08:37,4,2,7,28.6,0,1,0.0,0,0,0.0,1,1,2,3,1,0,3,1,-5
2019-12-31,HOU vs. DEN,HOU,DEN,Home,W,00:09:36,6,2,6,33.3,0,1,0.0,2,2,100.0,0,0,0,1,0,0,1,1,-14
2019-12-28,HOU vs. BKN,HOU,BKN,Home,W,00:08:27,1,0,4,0.0,0,1,0.0,1,1,100.0,1,3,4,2,0,0,0,0,-1
2019-12-25,HOU @ GSW,HOU,GSW,Away,L,00:08:38,6,2,7,28.6,0,2,0.0,2,2,100.0,0,4,4,1,0,0,2,1,-3
2019-12-23,HOU @ SAC,HOU,SAC,Away,W,00:09:26,9,4,7,57.1,1,1,100.0,0,0,0.0,0,4,4,1,1,0,0,0,17
2019-12-21,HOU @ PHX,HOU,PHX,Away,W,00:09:03,9,3,5,60.0,0,0,0.0,3,4,75.0,0,1,1,2,2,0,1,0,5
2019-12-19,HOU @ LAC,HOU,LAC,Away,W,00:09:34,11,2,6,33.3,1,3,33.3,6,6,100.0,0,4,4,3,0,0,3,2,17
2019-12-16,HOU vs. SAS,HOU,SAS,Home,W,00:09:23,6,1,7,14.3,0,3,0.0,4,4,100.0,1,2,3,0,1,0,1,1,10
2019-12-13,HOU @ ORL,HOU,ORL,Away,W,00:09:09,4,2,6,33.3,0,0,0.0,0,0,0.0,1,1,2,3,0,0,0,1,6
2019-12-11,HOU @ CLE,HOU,CLE,Away,W,00:09:39,9,4,7,57.1,1,1,100.0,0,0,0.0,1,0,1,1,1,0,0,0,1
2019-12-09,HOU vs. SAC,HOU,SAC,Home,L,00:08:30,6,2,3,66.7,0,1,0.0,2,2,100.0,0,0,0,1,1,0,1,2,-7
2019-12-07,HOU vs. PHX,HOU,PHX,Home,W,00:10:07,2,1,2,50.0,0,0,0.0,0,0,0.0,2,4,6,2,0,0,1,2,-9
2019-12-05,HOU @ TOR,HOU,TOR,Away,W,00:05:33,0,0,4,0.0,0,1,0.0,0,0,0.0,1,2,3,3,0,0,1,0,-5
2019-12-03,HOU @ SAS,HOU,SAS,Away,L,00:08:08,8,3,7,42.9,0,0,0.0,2,2,100.0,0,1,1,2,0,0,1,2,4
2019-11-30,HOU vs. ATL,HOU,ATL,Home,W,00:08:44,4,2,2,100.0,0,0,0.0,0,0,0.0,0,4,4,1,0,0,0,2,18
2019-11-27,HOU vs. MIA,HOU,MIA,Home,W,00:08:21,6,2,5,40.0,0,1,0.0,2,2,100.0,0,3,3,1,1,0,2,1,-3
2019-11-24,HOU vs. DAL,HOU,DAL,Home,L,00:09:50,9,2,5,40.0,1,1,100.0,4,4,100.0,0,2,2,1,0,0,0,2,6
2019-11-22,HOU @ LAC,HOU,LAC,Away,L,00:08:24,10,4,7,57.1,1,2,50.0,1,4,25.0,0,1,1,2,2,0,0,1,17
2019-11-20,HOU @ DEN,HOU,DEN,Away,L,00:07:56,6,2,5,40.0,1,3,33.3,1,1,100.0,0,0,0,1,0,0,0,1,-5
2019-11-18,HOU vs. POR,HOU,POR,Home,W,00:08:39,9,4,9,44.4,1,3,33.3,0,2,0.0,1,1,2,4,1,0,1,1,5
2019-11-15,HOU vs. IND,HOU,IND,Home,W,00:08:13,2,1,6,16.7,0,3,0.0,0,0,0.0,0,0,0,1,0,0,0,3,-6
2019-11-13,HOU vs. LAC,HOU,LAC,Home,W,00:09:36,6,2,10,20.0,0,3,0.0,2,2,100.0,0,0,0,0,0,0,0,0,-7
2019-11-11,HOU @ NOP,HOU,NOP,Away,W,00:07:41,8,4,7,57.1,0,3,0.0,0,0,0.0,0,1,1,1,0,0,3,1,3
2019-11-09,HOU @ CHI,HOU,CHI,Away,W,00:07:34,11,4,7,57.1,0,1,0.0,3,4,75.0,0,1,1,0,0,0,1,2,7
