Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-14,DEN @ MEM,DEN,MEM,Away,W,00:06:47,4,2,2,100.0,0,0,0.0,0,0,0.0,0,2,2,3,1,0,0,0,9
2024-04-12,DEN @ SAS,DEN,SAS,Away,L,00:06:36,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,3,0,1,0,1,16
2024-04-10,DEN vs. MIN,DEN,MIN,Home,W,00:07:29,6,2,3,66.7,0,0,0.0,2,2,100.0,0,2,2,0,1,0,1,1,-4
2024-04-09,DEN @ UTA,DEN,UTA,Away,W,00:05:57,3,1,1,100.0,1,1,100.0,0,0,0.0,0,1,1,3,1,0,0,0,3
2024-04-06,DEN vs. ATL,DEN,ATL,Home,W,00:06:40,0,0,1,0.0,0,0,0.0,0,0,0.0,0,4,4,2,0,0,0,0,0
2024-04-04,DEN @ LAC,DEN,LAC,Away,L,00:07:28,10,4,6,66.7,2,3,66.7,0,0,0.0,0,2,2,1,0,0,2,0,-5
2024-04-02,DEN vs. SAS,DEN,SAS,Home,W,00:06:27,4,2,4,50.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,0,0
2024-03-31,DEN vs. CLE,DEN,CLE,Home,W,00:06:09,7,3,4,75.0,0,0,0.0,1,1,100.0,1,1,2,4,1,0,1,1,13
2024-03-29,DEN vs. MIN,DEN,MIN,Home,L,00:06:40,6,3,7,42.9,0,3,0.0,0,0,0.0,1,1,2,0,0,0,0,0,-4
2024-03-27,DEN vs. PHX,DEN,PHX,Home,L,00:08:20,4,2,3,66.7,0,1,0.0,0,0,0.0,0,1,1,3,0,0,0,0,1
2024-03-25,DEN vs. MEM,DEN,MEM,Home,W,00:07:18,5,2,2,100.0,1,1,100.0,0,0,0.0,0,2,2,3,1,1,2,0,2
2024-03-21,DEN vs. NYK,DEN,NYK,Home,W,00:07:05,9,3,4,75.0,0,1,0.0,3,3,100.0,1,1,2,5,0,0,0,0,8
2024-03-19,DEN @ MIN,DEN,MIN,Away,W,00:06:30,9,4,6,66.7,1,1,100.0,0,0,0.0,0,2,2,0,0,0,0,1,6
2024-03-17,DEN @ DAL,DEN,DAL,Away,L,00:06:30,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,3,1,0,0,0,5
2024-03-15,DEN @ SAS,DEN,SAS,Away,W,00:06:54,4,2,3,66.7,0,1,0.0,0,0,0.0,0,0,0,1,0,0,2,0,-10
2024-03-13,DEN @ MIA,DEN,MIA,Away,W,00:07:08,1,0,0,0.0,0,0,0.0,1,2,50.0,0,2,2,0,0,0,1,0,1
2024-03-11,DEN vs. TOR,DEN,TOR,Home,W,00:09:48,6,3,8,37.5,0,1,0.0,0,0,0.0,1,3,4,5,0,0,1,0,-4
2024-03-09,DEN vs. UTA,DEN,UTA,Home,W,00:06:40,8,3,3,100.0,0,0,0.0,2,2,100.0,0,2,2,2,0,0,1,0,6
