Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-03-21,LAC vs. OKC,LAC,OKC,Home,L,00:08:31,6,3,4,75.0,0,1,0.0,0,0,0.0,1,1,2,2,1,0,1,0,10
2023-03-19,LAC @ POR,LAC,POR,Away,W,00:07:25,10,3,8,37.5,0,2,0.0,4,6,66.7,3,1,4,1,2,0,0,0,0
2023-03-18,LAC vs. ORL,LAC,ORL,Home,L,00:12:00,14,5,7,71.4,0,1,0.0,4,4,100.0,0,2,2,0,1,0,0,0,10
2023-03-15,LAC vs. GSW,LAC,GSW,Home,W,00:08:41,4,1,2,50.0,0,0,0.0,2,3,66.7,0,1,1,1,0,0,0,0,1
2023-03-11,LAC vs. NYK,LAC,NYK,Home,W,00:09:28,4,2,4,50.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,0,5
2023-03-08,LAC vs. TOR,LAC,TOR,Home,W,00:09:54,10,3,4,75.0,1,1,100.0,3,3,100.0,0,1,1,1,0,0,0,1,9
2023-03-05,LAC vs. MEM,LAC,MEM,Home,W,00:09:33,13,3,8,37.5,3,6,50.0,4,4,100.0,1,0,1,0,0,0,1,1,-19
2023-03-03,LAC @ SAC,LAC,SAC,Away,L,00:08:34,9,2,4,50.0,0,1,0.0,5,5,100.0,1,0,1,3,0,0,1,3,6
2023-03-02,LAC @ GSW,LAC,GSW,Away,L,00:05:26,3,0,3,0.0,0,0,0.0,3,3,100.0,0,2,2,0,0,0,0,3,-8
2023-02-28,LAC vs. MIN,LAC,MIN,Home,L,00:09:51,5,2,3,66.7,1,1,100.0,0,0,0.0,0,1,1,2,2,0,0,0,-4
2023-02-26,LAC @ DEN,LAC,DEN,Away,L,00:08:55,6,1,4,25.0,0,2,0.0,4,4,100.0,0,2,2,1,1,0,0,1,1
2023-02-24,LAC vs. SAC,LAC,SAC,Home,L,00:07:47,4,1,2,50.0,1,1,100.0,1,1,100.0,0,2,2,0,0,0,0,0,1
2023-02-16,LAC @ PHX,LAC,PHX,Away,W,00:08:12,5,1,3,33.3,1,2,50.0,2,2,100.0,0,3,3,3,0,0,1,1,0
2023-02-14,LAC vs. GSW,LAC,GSW,Home,W,00:07:34,6,1,4,25.0,0,2,0.0,4,4,100.0,0,0,0,4,0,0,0,0,5
2023-02-10,LAC vs. MIL,LAC,MIL,Home,L,00:07:30,8,3,7,42.9,2,3,66.7,0,0,0.0,0,3,3,1,0,0,0,0,-2
2023-02-08,LAC vs. DAL,LAC,DAL,Home,L,00:08:39,2,1,3,33.3,0,1,0.0,0,0,0.0,0,2,2,2,1,0,2,1,3
2023-02-06,LAC @ BKN,LAC,BKN,Away,W,00:09:39,13,3,5,60.0,2,3,66.7,5,5,100.0,0,0,0,1,0,0,0,2,-5
2023-02-04,LAC @ NYK,LAC,NYK,Away,W,00:06:48,5,2,3,66.7,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,0,0
2023-02-02,LAC @ MIL,LAC,MIL,Away,L,00:08:51,6,2,4,50.0,1,1,100.0,1,2,50.0,0,3,3,1,1,0,1,2,11
2023-01-31,LAC @ CHI,LAC,CHI,Away,W,00:08:35,2,1,4,25.0,0,1,0.0,0,0,0.0,2,2,4,3,1,0,1,2,-2
2023-01-28,LAC @ ATL,LAC,ATL,Away,W,00:08:30,1,0,3,0.0,0,2,0.0,1,1,100.0,0,1,1,2,0,0,0,0,1
2023-01-26,LAC vs. SAS,LAC,SAS,Home,W,00:08:34,3,1,1,100.0,0,0,0.0,1,1,100.0,0,1,1,3,0,0,0,1,4
2023-01-24,LAC @ LAL,LAC,LAL,Away,W,00:09:01,4,2,6,33.3,0,3,0.0,0,0,0.0,1,1,2,0,0,0,1,0,-7
2023-01-22,LAC @ DAL,LAC,DAL,Away,W,00:10:11,8,2,3,66.7,0,0,0.0,4,4,100.0,0,2,2,2,1,0,3,0,5
2023-01-20,LAC @ SAS,LAC,SAS,Away,W,00:08:27,4,2,4,50.0,0,0,0.0,0,0,0.0,0,1,1,6,0,0,0,0,10
2023-01-17,LAC vs. PHI,LAC,PHI,Home,L,00:07:09,4,1,3,33.3,0,2,0.0,2,2,100.0,0,3,3,2,0,0,1,1,8
2023-01-02,LAC vs. MIA,LAC,MIA,Home,L,00:12:00,13,3,7,42.9,3,6,50.0,4,4,100.0,0,1,1,3,2,0,1,1,20
2022-12-31,LAC @ IND,LAC,IND,Away,L,00:08:31,10,3,4,75.0,2,3,66.7,2,2,100.0,0,1,1,0,0,0,0,0,5
2022-12-29,LAC @ BOS,LAC,BOS,Away,L,00:09:20,6,2,5,40.0,2,4,50.0,0,0,0.0,0,1,1,1,1,0,1,0,10
2022-12-27,LAC @ TOR,LAC,TOR,Away,W,00:07:51,5,2,2,100.0,1,1,100.0,0,0,0.0,0,1,1,2,0,0,0,0,10
2022-12-26,LAC @ DET,LAC,DET,Away,W,00:12:00,13,3,3,100.0,1,1,100.0,6,7,85.7,0,0,0,4,0,1,1,2,-9
2022-12-23,LAC @ PHI,LAC,PHI,Away,L,00:12:00,0,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,2,1,0,1,0,-12
2022-12-21,LAC vs. CHA,LAC,CHA,Home,W,00:08:43,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,4,0,0,3,0,-4
2022-12-14,LAC vs. MIN,LAC,MIN,Home,W,00:12:00,3,1,4,25.0,0,1,0.0,1,2,50.0,1,2,3,7,0,0,2,1,7
2022-12-12,LAC vs. BOS,LAC,BOS,Home,W,00:08:08,7,3,7,42.9,1,2,50.0,0,0,0.0,0,1,1,2,0,0,0,2,8
2022-12-10,LAC @ WAS,LAC,WAS,Away,W,00:12:00,9,4,5,80.0,1,2,50.0,0,0,0.0,0,1,1,2,1,0,1,1,5
2022-12-08,LAC @ MIA,LAC,MIA,Away,L,00:09:55,14,5,8,62.5,2,3,66.7,2,2,100.0,0,3,3,3,1,0,1,1,6
2022-12-07,LAC @ ORL,LAC,ORL,Away,L,00:09:13,1,0,3,0.0,0,2,0.0,1,1,100.0,0,2,2,0,0,0,1,1,3
2022-12-05,LAC @ CHA,LAC,CHA,Away,W,00:06:35,4,2,4,50.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,2,0,-14
2022-11-17,LAC vs. DET,LAC,DET,Home,W,00:09:06,3,1,3,33.3,1,3,33.3,0,0,0.0,0,1,1,0,0,0,2,2,4
2022-11-15,LAC @ DAL,LAC,DAL,Away,L,00:12:00,8,2,5,40.0,1,2,50.0,3,3,100.0,0,2,2,2,0,0,1,2,18
2022-11-14,LAC @ HOU,LAC,HOU,Away,W,00:10:40,11,4,6,66.7,1,1,100.0,2,4,50.0,0,2,2,2,0,0,1,1,-3
2022-11-12,LAC vs. BKN,LAC,BKN,Home,L,00:12:00,9,2,8,25.0,1,3,33.3,4,5,80.0,0,2,2,1,0,1,1,2,0
